;;;;;;1: buona, copia perfetta dell'originale;;;;;
;;;;;;2: media, presenti imperfezioni;;;;;
;;;;;;3: scarsa: molte difformit…;;Cognome e Nome;;;
ID;N.;Settore;Classe;Animale: nome comune;Animale: nome scientifico;Grado di affidabilit… della rappresentazione;Area geografica di presenza della specie;Determinatore;Note;;Code
160;1;K;Mammalia;Cebo dai cornetti;Sapajus sp.;1;America meridionale;Gippoliti Spartaco;Il complesso 'apella' o cebi robusti si ritiene attualmente composto da diverse specie: l'esemplare in questione sembra ascrivibile a S. libidinosus (Spix, 1823). ;;
161;2;K;Aves;Gruccione;Merops apiaster;Buona;Europa, Asia, Africa;Gagliardi;;;
162;4;K;Aves;Pavoncella armata;Vanellus spinosus;media;Africa, porzione orientale del bacino Mediterraneo;Gagliardi;;;
163;3;K;Mammalia;Scoiattolo gigante pallido/Scoiattolo di Prevost;Ratufa affinis/Callosciurus prevostii;Buona;Malesia, Sumatra, Borneo;John Koprowsky;;;
164;5;K;Aves;Tucano toco;Ramphastos toco;Media;Sud America;Gagliardi;;;
165;6;K;Mammalia;Yagouaroundi;Puma yagouaroundi;Buona;Nord e sud america;Martinoli;;;
166;8;K;Aves;Gabbiano reale;Larus michaellis;Media;Bacino mediterraneo (Europa, nord Africa, Asia minore);Gagliardi;;;
167;;K;Aves;Uccello non determinabile;;;;;;;
168;7;K;Mammalia;Cercopiteco diana;Cercopithecus diana (Linnaeus, 1758);1;Africa occidentale (Sierra Leone-Costa d'Avorio);Gippoliti Spartaco;;;
169;9;K;Mammalia;Daino;Cervus dama;Buona;Medio oriente;Martinoli;femmina albina;;
170;10;K;Mammalia;Cervo;Cervus elaphus;Buona;Olartico;Martinoli;Maschio adulto. Corpo troppo snello in relazione al palco.;;
171;12;K;Aves;Tarabusino;Ixobrychus minutus;Scarsa;Europa, Asia, Africa, regione Australasiatica;Gagliardi;particolari non sufficientemente dettagliati;;
172;16;K;Mammalia;Civetta africana;Civettictis civetta;Buona;Africa sub sahariana;Martinoli;;;
173;15;K;Mammalia;Leone;Panthera leo;Buona;Africa-asia occidentale;Martinoli;Maschio adulto. Corpo snello e muso troppo affusolato.;;
174;14;K;Mammalia;Giaguaro;Panthera onca;Buona;Sudamerica;Martinoli;;;
175;26;K;Aves;Tarabuso;Botaurus stellaris;Media;Europa, Asia, Africa;Gagliardi;particolari non sufficientemente dettagliati;;
176;14;K;Mammalia;Giaguaro;Panthera onca;Buona;Sudamerica;Martinoli;cucciolo;;
177;24;K;Mammalia;Pecora;Ovis aries;Buona;;Martinoli;Giovane;;
178;17;K;Aves;Tacchino;Meleagris gallopavo;Buona;Nordamerica;;femmina;;
179;18;K;Aves;Tacchino;Meleagris gallopavo;Buona;Nordamerica;;maschio;;
180;;K;Aves;Fasianide non determinabile;;;;;;;
181;21;K;Aves;Starna;Perdix perdix;Media;Europa, Asia;Gagliardi;;;
182;22;K;Aves;Francolino;Francolinus francolinus;Buona;Cipro, Turchia, Asia ;Gagliardi;Esemplare maschio. Introdotto in nord America e alcune isole oceaniche Hawai, Marianne, dove esistono attualmente popolazioni. Introdotto anche in Italia alla fine del 1200, ma popolazioni estinte nella seconda met… dell'ottocento.;;
183;19;K;Aves;Uccello non determinabile;;;;;;;
184;20;K;Mammalia;Topo;Mus domesticus;Media;Cosmopolita;Martinoli;colorazione bianca;;
185;25;K;Aves;Pernice bianca;Lagopus muta;Media;Europa, Asia, nord America;Gagliardi;maschio abito primaverile;;
186;2;L;Aves;Rondine ;Hirundo rustica;Buona;Europa, Asia, Africa, Americhe, regione Austalasiatica;Gagliardi;la colorazione del piumaggio Š tipica della sottospecie rustica, distribuita in Europa e Asia occidentale;;
187;3;L;Aves;Passeriforme non determinabile;;;;;probabile Turdus merula maschio, ma becco troppo scuro;;
188;4;L;Aves;Uccello non determinabile;;;;;;;
189;5;L;Aves;Passeriforme non determinabile;;;;;la colorazione bianca e nera potrebbe essere ricondotta al Passeriforme Turdide Copsychus sechellarum (pettirosso gazza delle Seychelles), tuttavia la coda dovrebbe essere nera e non bianca e il bianco sulle ali meno esteso;;
190;6;L;Aves;Passeriforme non determinabile;;;;;;;
191;;L;Aves;Passeriforme non determinabile;;;;;;;
192;8;L;Reptilia;Drago volante;Draco sp.;2;Asia;Macchi Silvia;;;
193;7;L;Aves;Mignattino;Chlidonias niger;Scarsa;Europa, Asia, Africa, Americhe;Gagliardi;Adulto, abito estivo. forma della testa pi— da Hidrobatidae (uccello delle tempeste);;
194;9;L;Mammalia;Coniglio;Orictolagus cuniculus;Buona;;Martinoli;Coniglio nero;;
195;13;L;Aves;Otarda;Otis tarda;Buona;Europa, Asia;Gagliardi;;;
196;10;L;Mammalia;Vacca;Bos taurus;Buona;;Martinoli;"Immagine piccola, compatibile con razza ""bruna alpina""";;
197; ;L;Aves;Crociere;Loxia curvirostra;Scarsa;Europa, Asia, nord Africa, nord e centro America;Gagliardi;;;
198;12;L;Mammalia;Gatto dai piedi neri;Felis nigripes;Media;Africa meridionale;Martinoli;;;
199;15;L;Aves;Uccello non determinabile;;;;;;;
200;14;L;Aves;Accipitride non determinabile;;;;;;;
201;16;L;Aves;Moretta tabaccata;Aythya nyroca;Buona;Europa, Asia, Africa;Gagliardi;;;
202;17;L;Aves;Cormorano;Phalacrocorax carbo;Buona;Europa, Asia, Nord America;Gagliardi;Individuo giovane  ;;
203;18;L;Mammalia;Faina/Martora;Martes sp.;Buona;Europa;Martinoli;non visibili I caratteri utili per discriminare tra M. foina e M. martes anche se probabilmente pi— affine a quest'ultima;;
